Country,Region,ISO,RegionNumber
Japan,East Asia,JPN,12
Jordan,"Caucasus, Central Asia & Middle East",JOR,1
Kazakhstan,"Caucasus, Central Asia & Middle East",KAZ,1
Kenya,Africa,KEN,6
Kiribati,Oceania,KIR,7
Kosovo,Eastern Europe,KOS,3
Kuwait,"Caucasus, Central Asia & Middle East",KWT,1
Kyrgyzstan,"Caucasus, Central Asia & Middle East",KGZ,1
Laos,Southeast Asia,LAO,13
Latvia,Eastern Europe,LVA,3
Lebanon,"Caucasus, Central Asia & Middle East",LBN,1
Lesotho,Africa,LSO,6
Liberia,Africa,LBR,6
Libya,Africa,LBY,6
Liechtenstein,Western Europe,LIE,5
Lithuania,Eastern Europe,LTU,3
Luxembourg,Western Europe,LUX,5
Macau,East Asia,MAC,12
Macedonia,Eastern Europe,MKD,3
Madagascar,Africa,MDG,6
Malawi,Africa,MWI,6
Malaysia,Southeast Asia,MYS,13
Maldives,South Asia,MDV,11
Mali,Africa,MLI,6
Malta,Southern Europe,MLT,4
Marshall Islands,Oceania,MHL,7
Mauritania,Africa,MRT,6
Mauritius,Africa,MUS,6
Mayotte,Africa,MYT,6
Mexico,North America,MEX,10
Micronesia,Oceania,FSM,7
Moldova,Eastern Europe,MDA,3
Monaco,Southern Europe,MCO,4
Mongolia,East Asia,MNG,12
Montenegro,Eastern Europe,MNE,3
Montserrat,Caribbean,MSR,8
Morocco,Africa,MAR,6
Mozambique,Africa,MOZ,6
Myanmar,Southeast Asia,MMR,13
Namibia,Africa,NAM,6
Nauru,Oceania,NRU,7
Nepal,South Asia,NPL,11
Netherlands,Western Europe,NLD,5
New Caledonia,Oceania,NCL,8
New Zealand,Oceania,NZL,7
Nicaragua,North America,NIC,10
Niger,Africa,NER,6
Nigeria,Africa,NGA,6
Niue,Oceania,NIU,7
Norfolk Island,Oceania,NFK,7
North Korea,East Asia,KOR,12
Northern Mariana Islands,Oceania,MNP,7
Norway,Northern Europe,NOR,2
Oman,"Caucasus, Central Asia & Middle East",OMN,1
Pakistan,South Asia,PAK,11
Palau,Oceania,PLW,7
Panama,North America,PAN,10
Papua New Guinea,Oceania,PNG,7
Paraguay,South America,PRY,9
Peru,South America,PER,9
Philippines,Southeast Asia,PHL,13
Pitcairn Island,Oceania,PCN,7
Poland,Eastern Europe,POL,3
Portugal,Southern Europe,PRT,4
Puerto Rico,Caribbean,PRI,8
Qatar,"Caucasus, Central Asia & Middle East",QAT,1
Reunion,Africa,REU,6
Romania,Eastern Europe,ROU,3
Russia,Eastern Europe,RUS,3
Rwanda,Africa,RWA,6
Saint Helena,Africa,BLM,6
Saint Kitts and Nevis,Caribbean,SHN,8
Saint Lucia,Caribbean,KNA,8
Saint Pierre and Miquelon,North America,LCA,10
Saint Vincent and Grenadines,Caribbean,MAF,8
Samoa,Oceania,WSM,7
San Marino,Southern Europe,SMR,4
Sao Tome and Principe,Africa,STP,6
Saudi Arabia,"Caucasus, Central Asia & Middle East",SAU,1
Senegal,Africa,SEN,6
Serbia,Eastern Europe,SRB,3
Seychelles,Africa,SYC,6
Sierra Leone,Africa,SLE,6
Singapore,Southeast Asia,SGP,13
Sint Maarten,Caribbean,SXM,8
Slovakia,Eastern Europe,SVK,3
Slovenia,Eastern Europe,SVN,3
Solomon Islands,Oceania,SLB,7
Somaliland,Africa,SML,6
Somalia,Africa,SOM,6
South Africa,Africa,ZAF,6
South Georgia and South Sandwich Islands,South America,SGS,9
South Korea,East Asia,PRK,12
South Sudan,Africa,SSD,6
Spain,Southern Europe,ESP,4
Sri Lanka,South Asia,LKA,11
Sudan,Africa,SDN,6
Suriname,South America,SUR,9
Svalbard and Jan Mayen Islands,Northern Europe,SJM,2
Swaziland,Africa,SWZ,6
Sweden,Northern Europe,SWE,2
Switzerland,Western Europe,CHE,5
Syria,"Caucasus, Central Asia & Middle East",SYR,1
Taiwan,East Asia,TWN,12
Tajikistan,"Caucasus, Central Asia & Middle East",TJK,1
Tanzania,Africa,TZA,6
Thailand,Southeast Asia,THA,13
Togo,Africa,TGO,6
Tokelau,Oceania,TKL,7
Tonga,Oceania,TON,7
Trinidad and Tobago,Caribbean,TTO,8
Tunisia,Africa,TUN,6
Turkey,"Caucasus, Central Asia & Middle East",TUR,1
Turkmenistan,"Caucasus, Central Asia & Middle East",TKM,1
Turks and Caicos Islands,Caribbean,TCA,8
Tuvalu,Oceania,TUV,7
Uganda,Africa,UGA,6
Ukraine,"Caucasus, Central Asia & Middle East",UKR,1
United Arab Emirates,"Caucasus, Central Asia & Middle East",ARE,1
United Kingdom,Western Europe,GBR,5
United States,North America,USA,10
Uruguay,South America,URY,9
Uzbekistan,"Caucasus, Central Asia & Middle East",UZB,1
Vanuatu,Oceania,VUT,7
Venezuela,South America,VEN,9
Vietnam,Southeast Asia,VNM,13
"Virgin Islands, British",Caribbean,VGB,8
Wallis and Futuna Islands,Oceania,WLF,7
Western Sahara,Africa,ESH,6
Yemen,"Caucasus, Central Asia & Middle East",YEM,1
Zambia,Africa,ZMB,6
Zimbabwe,Africa,ZWE,6
